Symptoms,Medicines
"body pain, acidity, stomach pain, runny nose","cetirizine, diclofenac, aciloc"
bacterial infection,azithromycin
"swelling, fever, runny nose","paracetamol, cetirizine, diclofenac"
runny nose,cetirizine
"fever, swelling, cold, runny nose","paracetamol, cetirizine, diclofenac"
"runny nose, sore throat","cetirizine, azithromycin"
"cough, body pain, headache, cold","cetirizine, azithromycin, diclofenac"
"body pain, runny nose, cold, sore throat, allergy","cetirizine, azithromycin, diclofenac"
bacterial infection,azithromycin
body pain,diclofenac
"sneezing, runny nose, stomach pain, acidity","cetirizine, aciloc"
cold,cetirizine
"cough, runny nose, stomach pain","cetirizine, azithromycin, aciloc"
"cold, cough, sore throat, inflammation, runny nose","cetirizine, azithromycin, diclofenac"
"cough, cold, bacterial infection, sneezing, body pain","cetirizine, azithromycin, diclofenac"
"body pain, sneezing","cetirizine, diclofenac"
"cough, inflammation, sore throat","azithromycin, diclofenac"
"headache, sore throat","azithromycin, diclofenac"
"cough, acidity, headache","azithromycin, diclofenac, aciloc"
swelling,diclofenac
"body pain, cough, stomach pain, bacterial infection, swelling","azithromycin, diclofenac, aciloc"
"fever, runny nose, cold","paracetamol, cetirizine"
"runny nose, bacterial infection, fever, cold","paracetamol, cetirizine, azithromycin"
"sore throat, allergy, body pain, stomach pain","cetirizine, azithromycin, diclofenac, aciloc"
"headache, sneezing, swelling","cetirizine, diclofenac"
acidity,aciloc
"fever, bacterial infection, inflammation","paracetamol, azithromycin, diclofenac"
"headache, runny nose","cetirizine, diclofenac"
"allergy, inflammation, headache","cetirizine, diclofenac"
"body pain, swelling",diclofenac
body pain,diclofenac
swelling,diclofenac
"cold, body pain, fever, acidity, sore throat","paracetamol, cetirizine, azithromycin, aciloc"
"cough, allergy","cetirizine, azithromycin"
"bacterial infection, body pain, swelling, inflammation","azithromycin, diclofenac"
"runny nose, acidity, sneezing, body pain","cetirizine, diclofenac, aciloc"
"swelling, bacterial infection","azithromycin, diclofenac"
sneezing,cetirizine
"bacterial infection, swelling","azithromycin, diclofenac"
acidity,aciloc
"acidity, cold","cetirizine, aciloc"
"body pain, bacterial infection, allergy","cetirizine, azithromycin, diclofenac"
"stomach pain, runny nose","cetirizine, aciloc"
"fever, bacterial infection, runny nose, swelling, cold","paracetamol, cetirizine, azithromycin, diclofenac"
"cold, sneezing, headache","cetirizine, diclofenac"
"swelling, body pain, sneezing","cetirizine, diclofenac"
"stomach pain, fever, cough, cold","paracetamol, cetirizine, azithromycin, aciloc"
"acidity, fever","paracetamol, aciloc"
"sneezing, fever, bacterial infection, headache","paracetamol, cetirizine, azithromycin"
"bacterial infection, sore throat, fever","paracetamol, azithromycin"
"acidity, sneezing","cetirizine, aciloc"
"inflammation, bacterial infection, sore throat, sneezing","cetirizine, azithromycin, diclofenac"
"acidity, sneezing, runny nose, body pain","cetirizine, diclofenac, aciloc"
"fever, bacterial infection, sore throat, cold, inflammation","paracetamol, cetirizine, azithromycin, diclofenac"
"acidity, cold, fever","paracetamol, cetirizine, aciloc"
"cough, stomach pain, cold, fever","paracetamol, cetirizine, azithromycin, aciloc"
"stomach pain, swelling, sore throat","azithromycin, diclofenac, aciloc"
"fever, headache, runny nose","paracetamol, cetirizine"
"body pain, cough, runny nose, fever","paracetamol, cetirizine, azithromycin"
"headache, sneezing, swelling, stomach pain, body pain","cetirizine, diclofenac, aciloc"
inflammation,diclofenac
"sneezing, acidity, headache, sore throat","cetirizine, azithromycin, diclofenac, aciloc"
